Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-04-03T08:30:00+02:00;2022-04-03;08:30;11;Île-de-France;;;;;;8711;Consolidé;
2022-04-03T13:00:00+02:00;2022-04-03;13:00;11;Île-de-France;12727;Définitif;;;12727;9592;Consolidé;22319
2022-04-03T13:30:00+02:00;2022-04-03;13:30;11;Île-de-France;;;;;;9335;Consolidé;
2022-04-03T18:30:00+02:00;2022-04-03;18:30;11;Île-de-France;;;;;;8864;Consolidé;
2022-04-03T21:30:00+02:00;2022-04-03;21:30;11;Île-de-France;;;;;;9596;Consolidé;
2022-04-03T22:00:00+02:00;2022-04-03;22:00;11;Île-de-France;12520;Définitif;;;12520;9399;Consolidé;21919
2022-04-03T22:30:00+02:00;2022-04-03;22:30;11;Île-de-France;;;;;;9392;Consolidé;
2022-04-04T00:00:00+02:00;2022-04-04;00:00;11;Île-de-France;11429;Définitif;;;11429;9239;Consolidé;20668
2022-04-04T03:30:00+02:00;2022-04-04;03:30;11;Île-de-France;;;;;;8027;Consolidé;
2022-04-04T08:00:00+02:00;2022-04-04;08:00;11;Île-de-France;18775;Définitif;;;18775;10847;Consolidé;29622
2022-04-04T12:00:00+02:00;2022-04-04;12:00;11;Île-de-France;12776;Définitif;;;12776;10494;Consolidé;23270
2022-04-04T12:30:00+02:00;2022-04-04;12:30;11;Île-de-France;;;;;;10496;Consolidé;
2022-04-04T13:00:00+02:00;2022-04-04;13:00;11;Île-de-France;12016;Définitif;;;12016;10417;Consolidé;22433
2022-04-04T14:30:00+02:00;2022-04-04;14:30;11;Île-de-France;;;;;;9918;Consolidé;
2022-04-04T15:00:00+02:00;2022-04-04;15:00;11;Île-de-France;11724;Définitif;;;11724;9759;Consolidé;21483
2022-04-04T15:30:00+02:00;2022-04-04;15:30;11;Île-de-France;;;;;;9690;Consolidé;
2022-04-04T19:00:00+02:00;2022-04-04;19:00;11;Île-de-France;14033;Définitif;;;14033;10599;Consolidé;24632
2022-04-04T20:00:00+02:00;2022-04-04;20:00;11;Île-de-France;13773;Définitif;;;13773;10912;Consolidé;24685
2022-04-04T21:00:00+02:00;2022-04-04;21:00;11;Île-de-France;12856;Définitif;;;12856;10393;Consolidé;23249
2022-04-04T21:30:00+02:00;2022-04-04;21:30;11;Île-de-France;;;;;;9944;Consolidé;
2022-04-05T00:00:00+02:00;2022-04-05;00:00;11;Île-de-France;9609;Définitif;;;9609;9084;Consolidé;18693
2022-04-05T02:30:00+02:00;2022-04-05;02:30;11;Île-de-France;;;;;;7698;Consolidé;
2022-04-05T05:30:00+02:00;2022-04-05;05:30;11;Île-de-France;;;;;;7767;Consolidé;
2022-04-05T07:00:00+02:00;2022-04-05;07:00;11;Île-de-France;14982;Définitif;;;14982;8923;Consolidé;23905
2022-04-05T09:00:00+02:00;2022-04-05;09:00;11;Île-de-France;13706;Définitif;;;13706;10303;Consolidé;24009
2022-04-05T10:30:00+02:00;2022-04-05;10:30;11;Île-de-France;;;;;;10314;Consolidé;
2022-04-05T18:00:00+02:00;2022-04-05;18:00;11;Île-de-France;11075;Définitif;;;11075;9569;Consolidé;20644
2022-04-05T19:30:00+02:00;2022-04-05;19:30;11;Île-de-France;;;;;;10134;Consolidé;
